id,name,address,city,state,postal_code,phone_number
911,CAFE DOLCI,740 MARKET ST ,San Francisco,CA,94102,
917,TOWN & COUNTRY CLUB,218 STOCKTON ST,San Francisco,CA,94108,
919,"RITZ-CARLTON, SF -  P-37 RESTAURANT AND BAR",600 STOCKTON ST 4TH FLOOR,San Francisco,CA,94108,
920,RITZ-CARLTON SF - CLUB LOUNGE,600 STOCKTON ST 8TH FLOOR,San Francisco,CA,94108,
921,RITZ-CARLTON SF - PANTRY PREP ROOM AND LOBBY BAR,600 STOCKTON ST 4TH FLOOR,San Francisco,CA,94108,
929,CAFE ETHIOPIA,0878 VALENCIA ST,San Francisco,CA,94110,+14155319097
935,PEKING WOK RESTAURANT,4920 03RD ST ,San Francisco,CA,94124,
941,TWO JACKS SEAFOOD #2,984 GILMAN AVE ,San Francisco,CA,94124,
943,EL CASTILLITO TAQUERIA INC.,136 CHURCH ST ,San Francisco,CA,94114,+14155623428
949,BUFFALO BURGERS RESTAURANT,5317-19 GEARY BLVD,San Francisco,CA,94121,
950,IRVING PIZZA,1825 IRVING ST ,San Francisco,CA,94122,
951,KENTUCKY FRIED CHICKEN #50,1900 IRVING ST ,San Francisco,CA,94122,
952,SHANGRILA VEGETARIAN REST,2026 IRVING ST ,San Francisco,CA,94122,
961,JAVA BEACH CAFE,1396 LA PLAYA ST ,San Francisco,CA,94122,
966,L'AVENIDA,511 IRVING ST ,San Francisco,CA,94122,
968,GOLDEN ISLAND CAFE,1300 NORIEGA ST ,San Francisco,CA,94122,
969,LITTLE BEIJING RESTAURANT,1316 NORIEGA ST,San Francisco,CA,94122,
972,"MING TAI WUN TUN NOODLE, INC.",2455 NORIEGA ST ,San Francisco,CA,94122,
977,"BAY PASTRY, THE",1018 TARAVAL ST ,San Francisco,CA,94116,
983,HONG'S SZECHUAN RESTAURANT,3044 TARAVAL ST ,San Francisco,CA,94116,
984,VANIDA THAI KITCHEN,3050 TARAVAL ST ,San Francisco,CA,94116,
